Years,SCseg,Mktrait,MktraitAGREE
12,TRAD,MSIZE,not_sure
32,PROD,MSIZE,strongly_agree
35,PROD,MSIZE,strongly_agree
32,PROD,MSIZE,strongly_disagree
6,PROD,MSIZE,strongly_agree
15,TRAD,MSIZE,strongly_agree
35,PROD,MSIZE,strongly_agree
30,PROD,MSIZE,strongly_agree
30,PROD,MSIZE,strongly_agree
15,TRAD,MSIZE,strongly_agree
4,PROD,MSIZE,agree
15,PROD,MSIZE,strongly_agree
40,PRODTRAD,MSIZE,strongly_agree
10,PROD,MSIZE,strongly_agree
37,PRODTRAD,MSIZE,strongly_agree
25,PRODTRAD,MSIZE,strongly_agree
9,PRODTRAD,MSIZE,strongly_agree
20,PRODTRAD,MSIZE,strongly_agree
17,PRODTRAD,MSIZE,strongly_agree
20,TRAD,MSIZE,agree
3,TRAD,MSIZE,strongly_agree
44,PROD,MSIZE,strongly_agree
17,PROD,MSIZE,strongly_agree
15,TRAD,MSIZE,strongly_agree
2,TRAD,MSIZE,not_sure
6,TRAD,MSIZE,agree
5,TRAD,MSIZE,agree
2,PRODTRAD,MSIZE,agree
15,TRAD,MSIZE,agree
33,PROD,MSIZE,strongly_agree
3,TRAD,MSIZE,agree
2,TRAD,MSIZE,strongly_agree
25,PROD,TASTE,not_sure
30,PRODTRAD,TASTE,strongly_agree
12,TRAD,TASTE,not_sure
32,PROD,TASTE,disagree
35,PROD,TASTE,strongly_disagree
32,PROD,TASTE,strongly_disagree
6,PROD,TASTE,agree
15,TRAD,TASTE,strongly_agree
35,PROD,TASTE,agree
30,PROD,TASTE,strongly_agree
30,PROD,TASTE,agree
15,TRAD,TASTE,strongly_agree
4,PROD,TASTE,disagree
15,PROD,TASTE,agree
40,PRODTRAD,TASTE,agree
10,PROD,TASTE,agree
37,PRODTRAD,TASTE,strongly_agree
25,PRODTRAD,TASTE,agree
9,PRODTRAD,TASTE,not_sure
20,PRODTRAD,TASTE,strongly_agree
17,PRODTRAD,TASTE,not_sure
20,TRAD,TASTE,strongly_agree
3,TRAD,TASTE,strongly_agree
44,PROD,TASTE,strongly_agree
17,PROD,TASTE,not_sure
15,TRAD,TASTE,agree
2,TRAD,TASTE,strongly_agree
6,TRAD,TASTE,not_sure
5,TRAD,TASTE,strongly_agree
2,PRODTRAD,TASTE,strongly_agree
15,TRAD,TASTE,strongly_agree
33,PROD,TASTE,strongly_agree
3,TRAD,TASTE,strongly_agree
2,TRAD,TASTE,strongly_agree
25,PROD,TEND,not_sure
30,PRODTRAD,TEND,strongly_agree
12,TRAD,TEND,not_sure
32,PROD,TEND,disagree
35,PROD,TEND,strongly_disagree
32,PROD,TEND,strongly_disagree
6,PROD,TEND,not_sure
15,TRAD,TEND,agree
35,PROD,TEND,not_sure
30,PROD,TEND,agree
30,PROD,TEND,disagree
15,TRAD,TEND,agree
4,PROD,TEND,disagree
15,PROD,TEND,not_sure
40,PRODTRAD,TEND,not_sure
10,PROD,TEND,not_sure
37,PRODTRAD,TEND,strongly_disagree
25,PRODTRAD,TEND,not_sure
9,PRODTRAD,TEND,not_sure
20,PRODTRAD,TEND,not_sure
17,PRODTRAD,TEND,not_sure
20,TRAD,TEND,agree
3,TRAD,TEND,strongly_agree
44,PROD,TEND,strongly_agree
17,PROD,TEND,not_sure
15,TRAD,TEND,agree
2,TRAD,TEND,agree
6,TRAD,TEND,not_sure
5,TRAD,TEND,not_sure
2,PRODTRAD,TEND,not_sure
15,TRAD,TEND,disagree
33,PROD,TEND,strongly_agree
3,TRAD,TEND,strongly_agree
2,TRAD,TEND,strongly_agree
25,PROD,SMELL,strongly_agree
30,PRODTRAD,SMELL,strongly_agree
12,TRAD,SMELL,not_sure
32,PROD,SMELL,disagree
35,PROD,SMELL,strongly_disagree
32,PROD,SMELL,strongly_disagree
6,PROD,SMELL,strongly_agree
15,TRAD,SMELL,not_sure
35,PROD,SMELL,strongly_agree
30,PROD,SMELL,strongly_agree
30,PROD,SMELL,agree
15,TRAD,SMELL,strongly_agree
4,PROD,SMELL,disagree
15,PROD,SMELL,strongly_agree
40,PRODTRAD,SMELL,agree
10,PROD,SMELL,agree
37,PRODTRAD,SMELL,strongly_agree
25,PRODTRAD,SMELL,strongly_agree
9,PRODTRAD,SMELL,agree
20,PRODTRAD,SMELL,agree
17,PRODTRAD,SMELL,strongly_agree
20,TRAD,SMELL,strongly_agree
3,TRAD,SMELL,strongly_agree
44,PROD,SMELL,strongly_agree
17,PROD,SMELL,not_sure
15,TRAD,SMELL,agree
2,TRAD,SMELL,strongly_agree
6,TRAD,SMELL,agree
5,TRAD,SMELL,agree
2,PRODTRAD,SMELL,agree
15,TRAD,SMELL,strongly_agree
33,PROD,SMELL,agree
3,TRAD,SMELL,strongly_agree
2,TRAD,SMELL,strongly_agree
25,PROD,TEXT,agree
30,PRODTRAD,TEXT,strongly_agree
12,TRAD,TEXT,not_sure
32,PROD,TEXT,disagree
35,PROD,TEXT,not_sure
32,PROD,TEXT,strongly_disagree
6,PROD,TEXT,agree
15,TRAD,TEXT,strongly_agree
35,PROD,TEXT,not_sure
30,PROD,TEXT,agree
30,PROD,TEXT,not_sure
15,TRAD,TEXT,agree
4,PROD,TEXT,disagree
15,PROD,TEXT,agree
40,PRODTRAD,TEXT,not_sure
10,PROD,TEXT,not_sure
37,PRODTRAD,TEXT,strongly_agree
25,PRODTRAD,TEXT,not_sure
9,PRODTRAD,TEXT,not_sure
20,PRODTRAD,TEXT,not_sure
17,PRODTRAD,TEXT,not_sure
20,TRAD,TEXT,agree
3,TRAD,TEXT,agree
44,PROD,TEXT,strongly_agree
17,PROD,TEXT,not_sure
15,TRAD,TEXT,agree
2,TRAD,TEXT,strongly_agree
6,TRAD,TEXT,agree
5,TRAD,TEXT,strongly_agree
2,PRODTRAD,TEXT,agree
15,TRAD,TEXT,agree
33,PROD,TEXT,strongly_agree
3,TRAD,TEXT,strongly_agree
2,TRAD,TEXT,strongly_agree
25,PROD,MCON,strongly_agree
30,PRODTRAD,MCON,strongly_agree
12,TRAD,MCON,strongly_agree
32,PROD,MCON,strongly_agree
35,PROD,MCON,strongly_agree
32,PROD,MCON,strongly_disagree
6,PROD,MCON,strongly_agree
15,TRAD,MCON,strongly_agree
35,PROD,MCON,strongly_agree
30,PROD,MCON,strongly_agree
30,PROD,MCON,strongly_agree
15,TRAD,MCON,strongly_agree
4,PROD,MCON,disagree
15,PROD,MCON,strongly_agree
40,PRODTRAD,MCON,strongly_agree
10,PROD,MCON,strongly_agree
37,PRODTRAD,MCON,strongly_agree
25,PRODTRAD,MCON,strongly_agree
9,PRODTRAD,MCON,strongly_agree
20,PRODTRAD,MCON,strongly_agree
17,PRODTRAD,MCON,strongly_agree
20,TRAD,MCON,agree
3,TRAD,MCON,strongly_agree
44,PROD,MCON,strongly_agree
17,PROD,MCON,strongly_agree
15,TRAD,MCON,strongly_agree
2,TRAD,MCON,strongly_agree
6,TRAD,MCON,strongly_agree
5,TRAD,MCON,strongly_agree
2,PRODTRAD,MCON,strongly_agree
15,TRAD,MCON,strongly_agree
33,PROD,MCON,strongly_agree
3,TRAD,MCON,strongly_agree
2,TRAD,MCON,strongly_agree
25,PROD,CI,strongly_agree
30,PRODTRAD,CI,strongly_agree
12,TRAD,CI,agree
32,PROD,CI,strongly_agree
35,PROD,CI,strongly_agree
32,PROD,CI,strongly_disagree
6,PROD,CI,strongly_agree
15,TRAD,CI,agree
35,PROD,CI,agree
30,PROD,CI,agree
30,PROD,CI,strongly_agree
15,TRAD,CI,strongly_agree
4,PROD,CI,disagree
15,PROD,CI,not_sure
40,PRODTRAD,CI,strongly_agree
10,PROD,CI,strongly_agree
37,PRODTRAD,CI,strongly_agree
25,PRODTRAD,CI,strongly_agree
9,PRODTRAD,CI,agree
20,PRODTRAD,CI,strongly_agree
17,PRODTRAD,CI,strongly_agree
20,TRAD,CI,not_sure
3,TRAD,CI,strongly_agree
44,PROD,CI,strongly_agree
17,PROD,CI,strongly_agree
15,TRAD,CI,strongly_agree
2,TRAD,CI,not_sure
6,TRAD,CI,agree
5,TRAD,CI,agree
2,PRODTRAD,CI,strongly_agree
15,TRAD,CI,agree
33,PROD,CI,strongly_agree
3,TRAD,CI,strongly_agree
2,TRAD,CI,strongly_agree
